GEOID20,Name,District,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
19029029010,CASS TWP,Cass 6 - Bear Grove and Cass/Lewis,652,624,15,3,0,9,0,584,552,27,3,0,6,0,591,559,26,0,2,4,0,651,605,46,0,0,5,0,665,604,55,3,0,4,0,499,484,9,0,0,6,0,450,446,4,0,0,4,0,479,457,17,0,0,4,0,479,457,17,0,0,1,0,2,2,542,542,3,0,0,2,0,532,527,3,3,0,2,0,325,125,192,310,114,196,331,78,230,321,60,245,284,74,202,209,152,0,318,78,237,362,92,266,356,93,257
19029029007,GROVE TWP PART W/O ATLANTIC,Cass 8,267,264,3,0,0,0,0,238,236,1,0,0,1,0,265,256,3,1,3,2,2,238,237,4,0,0,0,0,251,247,3,0,0,7,0,218,216,2,0,0,0,0,182,182,0,1,0,1,0,210,206,2,1,1,1,1,210,206,2,1,0,0,1,0,0,190,193,0,0,0,0,0,206,207,0,0,0,0,0,154,52,98,148,44,104,162,30,123,157,27,123,130,30,97,97,65,0,141,34,105,138,38,97,136,40,92
19137137001,LINCOLN TWP,Montgomery Precinct 4,157,154,1,0,1,1,0,152,149,2,0,0,0,0,135,129,4,1,0,0,0,117,112,2,0,0,0,0,105,106,0,0,0,0,0,126,123,1,0,1,1,0,129,127,2,0,0,0,0,114,110,3,0,0,0,0,114,110,3,0,0,0,0,0,1,99,95,5,0,0,0,0,93,92,3,0,0,0,0,84,27,49,77,24,53,89,16,69,87,14,70,72,14,55,50,33,0,80,14,66,87,18,69,86,15,69
19135135001,CEDAR TWP,Monroe Precinct 6,135,133,0,0,1,2,0,134,133,0,1,0,0,0,140,130,0,1,1,5,0,157,151,0,2,0,2,0,137,131,0,2,0,2,0,101,99,0,0,1,2,0,100,100,0,0,0,0,0,113,105,0,0,1,5,0,113,105,0,0,1,1,0,0,6,127,124,0,0,0,9,0,114,113,0,0,0,5,0,65,30,31,66,30,36,60,15,43,60,18,40,51,15,35,44,30,0,63,16,47,82,18,64,77,20,55
19099099015,PALO ALTO TWP PART W/O NEWTON,Jasper County Precinct 20,2095,1707,55,304,14,13,4,2134,1706,157,157,57,74,0,2259,1888,124,199,15,33,13,2052,1516,163,223,55,115,0,2052,1524,115,274,65,100,0,1883,1504,52,302,11,13,3,1881,1515,109,155,34,71,0,2066,1714,117,193,13,28,13,2066,1714,117,193,0,12,0,0,30,1855,1392,114,205,30,100,0,1846,1369,87,265,25,94,0,583,267,287,562,275,287,587,166,383,578,150,396,491,186,294,437,315,0,543,174,354,580,184,389,575,181,371
19069069015,HAMILTON TWP W/O COULTER,Franklin County Precinct 3,153,149,4,0,0,2,0,143,125,8,0,0,0,0,146,138,4,0,0,3,0,166,128,26,9,0,1,0,162,128,22,12,0,2,0,113,111,2,0,0,0,0,101,95,2,0,0,0,0,107,102,3,0,0,2,0,107,102,3,0,0,0,0,0,2,114,110,3,1,0,1,0,110,107,2,0,0,5,0,77,32,39,85,34,51,81,21,57,81,16,63,69,20,48,58,41,0,71,17,54,84,26,58,80,22,58
19099099018,RICHLAND TWP,Jasper County Precinct 7,360,360,0,0,0,0,0,366,356,1,2,1,1,0,374,368,4,0,0,2,0,373,352,1,0,4,0,0,372,358,1,0,1,0,0,274,274,0,0,0,0,0,290,284,0,0,1,0,0,285,281,2,0,0,2,0,285,281,2,0,0,0,0,0,2,310,303,2,1,0,1,0,298,300,2,0,0,0,0,232,40,186,204,93,111,196,61,124,196,52,135,170,65,103,149,107,0,193,66,126,234,77,154,226,79,144
19069069004,SHEFFIELD,Jasper County Precinct 11,1172,1143,11,4,6,9,1,1230,1203,13,0,0,14,0,1130,1054,18,22,7,18,1,1084,1006,4,0,0,74,0,1209,1112,22,0,0,53,0,897,877,7,2,4,7,1,954,954,0,0,0,4,0,883,836,17,9,7,6,1,883,836,17,6,7,0,0,0,17,798,791,0,0,0,7,0,892,890,0,0,0,6,0,612,301,294,151,58,93,606,169,405,602,137,437,498,148,341,405,321,0,590,164,409,678,184,482,684,200,448
19169169015,COLLINS TWP,Collins,787,772,3,3,5,4,0,810,784,12,17,1,0,0,803,736,17,4,8,20,0,860,761,11,19,66,0,0,793,696,5,9,80,8,0,563,557,0,1,1,4,0,582,574,0,6,3,0,0,613,573,8,3,3,13,0,613,573,8,2,0,1,0,8,21,589,568,0,5,13,0,0,573,529,2,6,20,14,0,408,173,229,420,188,232,430,107,287,428,106,305,363,118,231,322,197,0,410,116,283,467,118,333,465,139,299
19169169109,AMES W2P4,Ames 2-4,3014,2424,65,75,436,16,2,3229,2480,171,41,527,23,0,3536,2588,158,138,586,42,5,3793,2760,286,34,699,15,0,3459,2669,255,41,484,26,0,2328,1888,48,62,328,10,2,2134,1904,64,27,119,10,0,2822,2127,120,99,431,23,4,2822,2127,120,76,398,2,1,6,92,2302,2131,95,25,34,10,0,2260,2074,95,40,45,4,0,1704,955,720,1823,1024,799,1905,1101,634,1873,892,921,1797,1085,686,1624,1307,0,1900,1104,736,2030,1254,726,2013,1205,771
